year,entity,municipality,section,quality,geometry,total,nominal,turnout,emblemLeader,emblemGapPP,source,sourceRows
2024,14,120,0,verified,False,27,43,,MORENA,25.925925925925924,S02,2127;3111;5319
2024,14,120,2900,verified,True,687,1412,48.654390934844194,MC,32.751091703056765,S02,5090;5097
2024,14,120,2901,verified,True,614,1072,57.276119402985074,MC,6.188925081433225,S02,5091;5288
2024,14,120,2902,verified,True,1334,2720,49.04411764705882,MC,11.84407796101949,S02,5092;5093;5094;5448
2024,14,120,2903,verified,True,845,1689,50.02960331557135,MC,20.355029585798817,S02,5095;5098;5289
2024,14,120,2904,verified,True,686,1311,52.32646834477498,MC,6.41399416909621,S02,5449;5450
2024,14,120,2905,verified,True,903,1609,56.12181479179614,MC,10.188261351052049,S02,5096;5099;5290
2024,14,120,2906,verified,True,1031,1833,56.246590289143484,MC,20.75654704170708,S02,1865;1950;2227
2024,14,120,2907,verified,True,813,1541,52.7579493835172,MC,12.792127921279212,S02,1828;1866;1867
2024,14,120,2908,verified,True,842,1685,49.97032640949555,MC,8.194774346793348,S02,1868;1869;1951
2024,14,120,2909,verified,True,887,1509,58.78064943671305,MC,14.543404735062007,S02,1952;1953;2228
2024,14,120,2910,verified,True,1033,1794,57.58082497212932,MC,18.102613746369798,S02,1954;1955;2229
2024,14,120,2911,verified,True,1139,1825,62.41095890410959,MC,24.670763827919227,S02,1829;2230;2231
2024,14,120,2912,verified,True,798,1269,62.88416075650118,MC,24.43609022556391,S02,1830;1956
2024,14,120,2913,verified,True,665,1372,48.46938775510204,MC,40.6015037593985,S02,1957;1958
2024,14,120,2914,verified,True,544,895,60.78212290502793,MC,22.977941176470587,S02,1959;2232
2024,14,120,2916,verified,True,781,1130,69.11504424778762,MC,30.34571062740077,S02,1870;1871
2024,14,120,2917,verified,True,1327,1949,68.08619805028219,MC,38.20648078372268,S02,1831;1872;2233
2024,14,120,2918,verified,True,1379,1848,74.62121212121212,MC,61.85641769398115,S02,1832;2234;2235
2024,14,120,2919,verified,True,818,1151,71.06863596872284,MC,36.91931540342298,S02,1833;2236
2024,14,120,2920,verified,True,1092,1732,63.04849884526559,MC,28.205128205128204,S02,1873;1960;1961
2024,14,120,2921,verified,True,931,1610,57.826086956521735,MC,22.878625134264233,S02,1834;1962;1963
2024,14,120,2922,verified,True,793,1440,55.06944444444445,MC,12.736443883984869,S02,1874;2237
2024,14,120,2923,verified,True,757,1382,54.775687409551374,MC,3.1704095112285335,S02,1875;1964
2024,14,120,2924,verified,True,1015,1547,65.61085972850678,MC,30.935960591133004,S02,1876;1877;1965
2024,14,120,2925,verified,True,916,1312,69.8170731707317,MC,38.97379912663755,S02,1835;2238
2024,14,120,2926,verified,True,914,1493,61.21902210314802,MC,21.663019693654267,S02,1836;1878
2024,14,120,2927,verified,True,703,1055,66.63507109004739,MC,41.25177809388336,S02,1879;2239
2024,14,120,2928,verified,True,1033,1386,74.53102453102453,MC,47.72507260406583,S02,1837;1880
2024,14,120,2929,verified,True,1349,1880,71.75531914893617,MC,37.36100815418828,S02,1881;1882;1966
2024,14,120,2930,verified,True,1720,2434,70.66557107641742,MC,34.36046511627907,S02,1883;1884;2240;2241
2024,14,120,2931,verified,True,852,2113,40.321817321344064,MC,18.779342723004692,S02,1885;2242;2243
2024,14,120,2932,verified,True,1070,1982,53.98587285570131,MC,21.121495327102803,S02,1967;2244;2245
2024,14,120,2933,verified,True,1908,3083,61.8877716509893,MC,22.90356394129979,S02,1886;1968;1969;2246;2247
2024,14,120,2934,verified,True,1371,1920,71.40625,MC,29.686360320933623,S02,1731;2248;2249
2024,14,120,2935,verified,True,1227,1546,79.36610608020699,MC,40.74979625101874,S02,1887;1970;1971
2024,14,120,2936,verified,True,850,1141,74.4960560911481,MC,44.588235294117645,S02,1972;2250
2024,14,120,2937,verified,True,758,1181,64.18289585097375,MC,9.498680738786279,S02,1732;2251
2024,14,120,2938,verified,True,712,1896,37.552742616033754,MC,4.353932584269663,S02,1733;1973;2252
2024,14,120,2939,verified,True,912,1478,61.70500676589986,MC,6.68859649122807,S02,2253;2254
2024,14,120,2940,verified,True,988,1708,57.84543325526932,MC,11.234817813765183,S02,1974;2255;2256
2024,14,120,2941,verified,True,1072,1708,62.76346604215457,MC,13.526119402985074,S02,1734;1888;1889
2024,14,120,2942,verified,True,1005,1713,58.66900175131349,MC,12.636815920398009,S02,1735;1975;2257
2024,14,120,2943,verified,True,1369,1872,73.13034188034187,MC,10.007304601899197,S02,1736;1890;1976
2024,14,120,2944,verified,True,538,809,66.5018541409147,MC,12.453531598513012,S02,1977;2258
2024,14,120,2945,verified,True,1428,2349,60.79182630906769,MC,6.512605042016808,S02,1737;1891;1892;2259
2024,14,120,2946,verified,True,1212,2286,53.018372703412076,MC,0.16501650165016502,S02,1738;1893;1894;1978
2024,14,120,2947,verified,True,903,1554,58.108108108108105,MC,13.2890365448505,S02,1739;1979;2260
2024,14,120,2948,verified,True,1535,2527,60.743965176098136,MC,11.661237785016286,S02,1740;1741;1980;2261
2024,14,120,2949,verified,True,2451,3893,62.959157462111484,MC,24.8062015503876,S02,1742;1743;1981;1982;2262;2263
2024,14,120,2950,verified,True,1679,2762,60.789283128167995,MC,21.20309708159619,S02,1895;1896;1983;1984
2024,14,120,2951,verified,True,791,1592,49.685929648241206,MC,0.8849557522123894,S02,1985;1986;2264
