source,field,type,rows,nulls,distinct,numericNonNull,nonNumericNonNull,meaning
S01,fid,INTEGER,,,,,,Nombre literal de la fuente
S01,geom,MULTIPOLYGON,,,,,,Geometría WKB en GeoPackage
S01,id,REAL,,,,,,Nombre literal de la fuente
S01,entidad,INTEGER,,,,,,Nombre literal de la fuente
S01,distrito_f,INTEGER,,,,,,Nombre literal de la fuente
S01,distrito_l,INTEGER,,,,,,Nombre literal de la fuente
S01,municipio,INTEGER,,,,,,Nombre literal de la fuente
S01,seccion,INTEGER,,,,,,Nombre literal de la fuente
S01,tipo,INTEGER,,,,,,Nombre literal de la fuente
S01,control,REAL,,,,,,Nombre literal de la fuente
S01,UID,TEXT(254),,,,,,Nombre literal de la fuente
S01,UENTIDAD,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPOBTOT,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPOBFEM,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPOBMAS,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_0A2,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_0A2_F,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_0A2_M,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_0A17,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_3YMAS,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_3YMAS_F,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_3YMAS_M,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_5YMAS,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_5YMAS_F,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_5YMAS_M,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_12YMAS,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_12YMAS_,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_12YMA_1,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_15YMAS,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_15YMAS_,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_15YMA_1,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_18YMAS,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_18YMAS_,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_18YMA_1,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_3A5,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_3A5_F,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_3A5_M,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_6A11,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_6A11_F,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_6A11_M,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_8A14,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_8A14_F,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_8A14_M,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_12A14,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_12A14_F,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_12A14_M,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_15A17,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_15A17_F,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_15A17_M,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_18A24,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_18A24_F,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_18A24_M,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_15A49_F,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_60YMAS,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_60YMAS_,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP_60YMA_1,TEXT(254),,,,,,Nombre literal de la fuente
S01,UREL_H_M,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPOB0_14,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPOB15_64,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPOB65_MAS,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPOB_EDADN,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPROM_HNV,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPNACENT,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPNACENT_F,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPNACENT_M,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPNACOE,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPNACOE_F,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPNACOE_M,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPRES2015,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPRES2015_,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPRES201_1,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPRESOE15,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPRESOE15_,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPRESOE1_1,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP3YM_HLI,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP3YM_HLI_,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP3YM_HL_1,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP3HLINHE,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP3HLINHE_,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP3HLINH_1,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP3HLI_HE,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP3HLI_HE_,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP3HLI_H_1,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP5_HLI,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP5_HLI_NH,TEXT(254),,,,,,Nombre literal de la fuente
S01,UP5_HLI_HE,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPHOG_IND,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPOB_AFRO,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPOB_AFRO_,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPOB_AFR_1,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPCON_DISC,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPCDISC_MO,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPCDISC_VI,TEXT(254),,,,,,Nombre literal de la fuente
S01,UPCDISC_LE,TEXT(254),,,,,,Nombre literal de la fuente
